Titulo,Link
Fogo na Chapada dos Veadeiros é extinto após 2 semanas e 30 mil hectares destruídos,https://g1.globo.com/go/goias/noticia/2021/09/25/chuva-ajuda-a-apagar-incendio-na-chapada-dos-veadeiros.ghtml
"Preço da gasolina sobe pela 8ª semana nos postos, mostra ANP",https://g1.globo.com/economia/noticia/2021/09/25/preco-medio-da-gasolina-sobe-pela-8a-semana-seguida-nos-postos-mostra-anp.ghtml
"Com gasolina cara, brasileiros se arriscam com gás de cozinha",https://g1.globo.com/economia/noticia/2021/09/25/com-gasolina-cara-brasileiros-se-arriscam-com-gas-de-cozinha-em-carro.ghtml
Terremotos e explosões assustam em ilha com vulcão ativo,https://g1.globo.com/mundo/noticia/2021/09/25/brasileira-que-vive-em-ilha-com-vulcao-em-erupcao-mostra-como-ficou-la-palma-coberta-por-cinzas-veja-video.ghtml
Brasileira mostra campo de futebol após erupção do vulcão,https://g1.globo.com/mundo/video/brasileira-mostra-como-ficou-a-ilha-de-la-palma-depois-da-erupcao-do-vulcao-9889261.ghtml
"Impactos do vulcão, granizo em SP e mais vídeos",https://g1.globo.com/playlist/videos-para-assistir-agora.ghtml
VÍDEO: exploradores chegam pela 1ª vez ao fundo do 'Poço do Inferno',https://g1.globo.com/meio-ambiente/noticia/2021/09/25/espeleologos-encontram-serpentes-mas-nao-demonios-no-poco-do-inferno-no-iemen.ghtml
Talibã pendura corpos de acusados de sequestro em guindastes,https://g1.globo.com/mundo/noticia/2021/09/25/taliba-pendura-corpos-de-supostos-sequestradores-em-guindastes.ghtml
Executiva da Huawei deixa prisão domiciliar e volta para China,https://g1.globo.com/mundo/noticia/2021/09/25/executiva-da-huawei-e-liberada-de-prisao-domiciliar-e-volta-para-a-china-apos-acordo-com-eua.ghtml
"Espetáculo ‘Cura’, de Deborah Colker, estreia hoje no Globoplay",https://g1.globo.com/jornal-hoje/playlist/jornal-hoje-ultimos-videos.ghtml#video-9892428-id
